country,indicator,dimension,year,observed,expected,z_observed,z_expected,gap
Philippines,Inflation,MacroPricePressure,2022,5.821158112139547,2.496498204813162,-0.8838032048894088,0.23936602106455906,-1.1231692259539678
Philippines,Inflation,MacroPricePressure,2023,5.978025155414093,2.496498204813162,-0.9367975683682421,0.23936602106455906,-1.176163589432801
Philippines,CO2IntElec,LowCarbonContinuity,2020,598.82,597.4473333333262,-0.3082592760180319,-0.29268453230880287,-0.01557474370922901
Philippines,CO2IntElec,LowCarbonContinuity,2021,599.57,607.8873939393889,-0.3167690315657694,-0.41114101719034557,0.09437198562457616
Philippines,CO2IntElec,LowCarbonContinuity,2022,602.51,618.3274545454478,-0.3501272733128997,-0.529597502071847,0.17947022875894725
Philippines,CO2IntElec,LowCarbonContinuity,2023,616.12,628.7675151515105,-0.5045509706525096,-0.6480539869533897,0.14350301630088003
Philippines,RenCap,LowCarbonContinuity,2020,63.18543124210304,64.13469399181105,-0.5322094187143058,-0.5189507167766138,-0.013258701937692075
Philippines,RenCap,LowCarbonContinuity,2021,65.55932554059007,66.1063416547843,-0.4990523639948325,-0.49141198875052117,-0.007640375244311326
Philippines,RenCap,LowCarbonContinuity,2022,68.24080353978803,68.13860229125106,-0.46159917460677224,-0.46302665703187373,0.0014274824251014895
Philippines,RenCap,LowCarbonContinuity,2023,69.37893476070347,70.23333928310392,-0.4457024772711387,-0.4337686950804774,-0.011933782190661324
Philippines,RenElec,LowCarbonContinuity,2020,21.23,21.60266666666689,0.30803742673775714,0.3378672962131161,-0.029829869475358983
Philippines,RenElec,LowCarbonContinuity,2021,22.13,20.917151515151772,0.38007736196443037,0.28299566608861354,0.09708169587581683
Philippines,RenElec,LowCarbonContinuity,2022,22.16,20.231636363636653,0.3824786931386529,0.22812403596411093,0.15435465717454197
Philippines,RenElec,LowCarbonContinuity,2023,21.43,19.546121212121534,0.3240463012325734,0.17325240583960833,0.15079389539296506
Singapore,TDLoss,EnergyServiceSecurity,2020,0.904528259485374,0.8703689710739917,2.2647180670891416,2.2772805156428513,-0.012562448553709693
Singapore,TDLoss,EnergyServiceSecurity,2021,1.1088834873942126,0.7581994225647455,2.189564217091757,2.3185320828731197,-0.12896786578136288
Singapore,TDLoss,EnergyServiceSecurity,2022,0.28425935614383874,0.6604858209365213,2.492828679167864,2.3544673189550056,0.1383613602128584
Singapore,TDLoss,EnergyServiceSecurity,2023,0.2299725070461501,0.5753651436221755,2.5127932563194615,2.385771370630218,0.12702188568924333
Singapore,AccessElec,EnergyServiceSecurity,2020,100.0,99.99000000000001,0.6356363604238807,0.6330295127393013,0.0026068476845794164
Singapore,AccessElec,EnergyServiceSecurity,2021,100.0,99.99000000000001,0.6356363604238807,0.6330295127393013,0.0026068476845794164
Singapore,AccessElec,EnergyServiceSecurity,2022,100.0,99.99000000000001,0.6356363604238807,0.6330295127393013,0.0026068476845794164
Singapore,AccessElec,EnergyServiceSecurity,2023,100.0,99.99000000000001,0.6356363604238807,0.6330295127393013,0.0026068476845794164
Singapore,Inflation,MacroPricePressure,2020,-0.1721118659253825,0.10631840448876764,1.1409020551471352,1.046840009698793,0.09406204544834207
Singapore,Inflation,MacroPricePressure,2021,2.316103157651459,0.10631840448876764,0.3003088456343891,1.046840009698793,-0.746531164064404
